asema	pvm	biomassa
25	2014-09-29	29.4101
25	2014-09-29	45.0216
25	2014-09-29	90.8202
25	2014-09-29	32.7513
25	2014-09-29	9.0779
25	2014-09-29	72.7775
25	2014-09-29	287.8856
25	2014-09-29	1.8715
25	2014-09-29	15.3188
25	2014-09-29	0.5914
25	2014-09-29	93.573
25	2014-09-29	15.4216
25	2014-09-29	5.4216
25	2014-09-29	0.5713
25	2014-09-29	3.3566
25	2014-09-29	8.6059
25	2014-09-29	26.973
25	2014-09-29	0.979
25	2014-09-29	6.7914
25	2014-09-29	1.8581
25	2014-09-29	2.4985
25	2014-09-29	1.0406
25	2014-09-29	3.7755
25	2014-09-29	28.0081
25	2014-09-29	38.5727
25	2014-09-29	366.9067
25	2014-09-29	3.5258
25	2014-09-29	8.8633
25	2014-09-29	12.9186
25	2014-09-29	35.0968
25	2014-09-29	11.4459
25	2014-09-29	2.0719
25	2014-09-29	5.4964
25	2014-09-29	28.6504
25	2014-09-29	11.3682
25	2014-09-29	29.6703
25	2014-09-29	191.329
25	2014-09-29	38.7845
25	2014-09-29	38.5101
87	2014-04-22	2.1862
87	2014-04-22	0.4664
87	2014-04-22	7.0618
87	2014-04-22	0.3186
87	2014-04-22	1.3657
87	2014-04-22	18.302
87	2014-04-22	109.3178
87	2014-04-22	4.382
87	2014-04-22	61.018
87	2014-04-22	1.326
87	2014-04-22	11.8805
87	2014-04-22	1.1568
87	2014-04-22	103.8464
87	2014-04-22	50.1772
87	2014-04-22	13.6
87	2014-04-22	2.6568
87	2014-04-22	1.3694
87	2014-04-22	1.47
87	2014-04-22	6.5265
87	2014-04-22	2.1755
87	2014-04-22	18.3365
87	2014-04-22	1.116
87	2014-04-22	7.6573
87	2014-04-22	12.6905
87	2014-04-22	0.7024
87	2014-04-22	3.0554
87	2014-04-22	3.505
87	2014-04-22	3.9423
87	2014-04-22	2.3257
87	2014-04-22	1.4716
87	2014-04-22	0.2262
87	2014-04-22	2.0921
87	2014-04-22	0.1703
87	2014-04-22	124.124
87	2014-04-22	162.4634
87	2014-04-22	186.144
87	2014-04-22	57.7205
87	2014-04-22	17.6804
87	2014-04-22	0.3255
87	2014-05-15	1.4505
87	2014-05-15	7.2873
87	2014-05-15	29.0105
87	2014-05-15	19.4328
87	2014-05-15	0.7287
87	2014-05-15	5.0935
87	2014-05-15	3.1856
87	2014-05-15	26.331
87	2014-05-15	118.0249
87	2014-05-15	41.7842
87	2014-05-15	13.5564
87	2014-05-15	0.5887
87	2014-05-15	69.5834
87	2014-05-15	4.539
87	2014-05-15	15.0504
87	2014-05-15	226.9088
87	2014-05-15	53.5666
87	2014-05-15	2.5894
87	2014-05-15	49.7267
